IMU initialize. Pass/Fail: 1
Calibrating gyroscope, hold IMU stationary.
---------------------------------------
Gyroscope bias values:
	 X: 89.543
	 Y: 39.081
	 Z: 48.007
---------------------------------------
ENC1 , ENC2 , ENC3 , SWITCH , PITCH , ROLL
0 , 0 , 0 , 2 , -1.47, -0.0886
0 , 0 , 0 , 2 , -2.9, -0.178
0 , 0 , 0 , 2 , -4.31, -0.276
0 , 0 , 0 , 2 , -5.7, -0.369
0 , 0 , 0 , 2 , -7.05, -0.449
0 , 0 , 0 , 2 , -8.39, -0.533
0 , 0 , 0 , 2 , -9.69, -0.614
0 , 0 , 0 , 2 , -11, -0.68
0 , 0 , 0 , 2 , -12.2, -0.759
0 , 0 , 0 , 2 , -13.4, -0.848
0 , 0 , 0 , 2 , -14.6, -0.919
0 , 0 , 0 , 2 , -15.8, -1.01
0 , 0 , 0 , 2 , -17, -1.1
0 , 0 , 0 , 2 , -18.1, -1.16
0 , 0 , 0 , 2 , -19.2, -1.23
0 , 0 , 0 , 2 , -20.3, -1.3
0 , 0 , 0 , 2 , -21.4, -1.35
0 , 0 , 0 , 2 , -22.4, -1.43
0 , 0 , 0 , 2 , -23.4, -1.49
0 , 0 , 0 , 2 , -24.4, -1.54
0 , 0 , 0 , 2 , -25.4, -1.59
0 , 0 , 0 , 2 , -26.3, -1.65
0 , 0 , 0 , 2 , -27.3, -1.7
0 , 0 , 0 , 2 , -28.2, -1.75
0 , 0 , 0 , 2 , -29.1, -1.81
0 , 0 , 0 , 2 , -30, -1.87
0 , 0 , 0 , 2 , -30.9, -1.94
0 , 0 , 0 , 2 , -31.7, -1.99
0 , 0 , 0 , 2 , -32.6, -2.03
0 , 0 , 0 , 2 , -33.4, -2.1
0 , 0 , 0 , 2 , -34.2, -2.15
0 , 0 , 0 , 2 , -35, -2.21
0 , 0 , 0 , 2 , -35.7, -2.25
0 , 0 , 0 , 2 , -36.5, -2.29
0 , 0 , 0 , 2 , -37.2, -2.32
0 , 0 , 0 , 2 , -38, -2.36
0 , 0 , 0 , 2 , -38.7, -2.4
0 , 0 , 0 , 2 , -39.4, -2.47
0 , 0 , 0 , 2 , -40, -2.5
0 , 0 , 0 , 2 , -40.7, -2.55
0 , 0 , 0 , 2 , -41.4, -2.59
0 , 0 , 0 , 2 , -42, -2.65
0 , 0 , 0 , 2 , -42.6, -2.69
0 , 0 , 0 , 2 , -43.2, -2.74
0 , 0 , 0 , 2 , -43.8, -2.78
0 , 0 , 0 , 2 , -44.4, -2.82
0 , 0 , 0 , 2 , -45, -2.85
0 , 0 , 0 , 2 , -45.6, -2.89
0 , 0 , 0 , 2 , -46.2, -2.92
0 , 0 , 0 , 2 , -46.7, -2.96
0 , 0 , 0 , 2 , -47.2, -2.99
0 , 0 , 0 , 2 , -47.8, -3.02
0 , 0 , 0 , 2 , -48.3, -3.04
0 , 0 , 0 , 2 , -48.8, -3.07
0 , 0 , 0 , 2 , -49.3, -3.1
0 , 0 , 0 , 2 , -49.8, -3.11
0 , 0 , 0 , 2 , -50.2, -3.14
0 , 0 , 0 , 2 , -50.7, -3.18
0 , 0 , 0 , 2 , -51.1, -3.23
0 , 0 , 0 , 2 , -51.6, -3.26
0 , 0 , 0 , 2 , -52, -3.29
0 , 0 , 0 , 2 , -52.5, -3.32
0 , 0 , 0 , 2 , -52.9, -3.33
0 , 0 , 0 , 2 , -53.3, -3.36
0 , 0 , 0 , 2 , -53.7, -3.41
0 , 0 , 0 , 2 , -54.1, -3.43
0 , 0 , 0 , 2 , -54.5, -3.44
0 , 0 , 0 , 2 , -54.9, -3.48
0 , 0 , 0 , 2 , -55.2, -3.49
0 , 0 , 0 , 2 , -55.6, -3.5
0 , 0 , 0 , 2 , -56, -3.5
0 , 0 , 0 , 2 , -56.3, -3.52
0 , 0 , 0 , 2 , -56.6, -3.56
0 , 0 , 0 , 2 , -57, -3.57
0 , 0 , 0 , 2 , -57.3, -3.59
0 , 0 , 0 , 2 , -57.6, -3.62
0 , 0 , 0 , 2 , -58, -3.65
0 , 0 , 0 , 2 , -58.3, -3.67
0 , 0 , 0 , 2 , -58.6, -3.7
0 , 0 , 0 , 2 , -58.9, -3.71
0 , 0 , 0 , 2 , -59.2, -3.72
0 , 0 , 0 , 2 , -59.4, -3.75
0 , 0 , 0 , 2 , -59.7, -3.75
0 , 0 , 0 , 2 , -60, -3.76
0 , 0 , 0 , 2 , -60.3, -3.76
0 , 0 , 0 , 2 , -60.5, -3.76
0 , 0 , 0 , 2 , -60.8, -3.76
0 , 0 , 0 , 2 , -61, -3.76
0 , 0 , 0 , 2 , -61.3, -3.76
0 , 0 , 0 , 2 , -61.5, -3.75
0 , 0 , 0 , 2 , -61.8, -3.77
0 , 0 , 0 , 2 , -62, -3.79
0 , 0 , 0 , 2 , -62.2, -3.81
0 , 0 , 0 , 2 , -62.5, -3.82
0 , 0 , 0 , 2 , -62.7, -3.84
0 , 0 , 0 , 2 , -62.9, -3.87
0 , 0 , 0 , 2 , -63.1, -3.89
0 , 0 , 0 , 2 , -63.3, -3.9
0 , 0 , 0 , 2 , -63.5, -3.9
0 , 0 , 0 , 2 , -63.7, -3.92
0 , 0 , 0 , 2 , -63.9, -3.92
0 , 0 , 0 , 2 , -64.1, -3.93
0 , 0 , 0 , 2 , -64.3, -3.95
0 , 0 , 0 , 2 , -64.5, -3.96
0 , 0 , 0 , 2 , -64.6, -3.97
0 , 0 , 0 , 2 , -64.8, -3.95
0 , 0 , 0 , 2 , -65, -3.96
0 , 0 , 0 , 2 , -65.2, -3.97
0 , 0 , 0 , 2 , -65.3, -3.97
0 , 0 , 0 , 2 , -65.5, -3.99
0 , 0 , 0 , 2 , -65.7, -4.02
0 , 0 , 0 , 2 , -65.8, -4.03
0 , 0 , 0 , 2 , -66, -4.05
0 , 0 , 0 , 2 , -66.1, -4.07
0 , 0 , 0 , 2 , -66.3, -4.08
0 , 0 , 0 , 2 , -66.4, -4.08
0 , 0 , 0 , 2 , -66.6, -4.09
0 , 0 , 0 , 2 , -66.7, -4.09
0 , 0 , 0 , 2 , -66.8, -4.13
0 , 0 , 0 , 2 , -67, -4.14
0 , 0 , 0 , 2 , -67.1, -4.12
0 , 0 , 0 , 2 , -67.2, -4.14
0 , 0 , 0 , 2 , -67.3, -4.14
0 , 0 , 0 , 2 , -67.5, -4.16
0 , 0 , 0 , 2 , -67.6, -4.15
0 , 0 , 0 , 2 , -67.7, -4.15
0 , 0 , 0 , 2 , -67.8, -4.16
0 , 0 , 0 , 2 , -67.9, -4.16
0 , 0 , 0 , 2 , -68, -4.18
0 , 0 , 0 , 2 , -68.1, -4.19
0 , 0 , 0 , 2 , -68.3, -4.2
0 , 0 , 0 , 2 , -68.4, -4.21
0 , 0 , 0 , 2 , -68.5, -4.22
0 , 0 , 0 , 2 , -68.6, -4.23
0 , 0 , 0 , 2 , -68.7, -4.26
0 , 0 , 0 , 2 , -68.8, -4.28
0 , 0 , 0 , 2 , -68.9, -4.28
0 , 0 , 0 , 2 , -69, -4.29
0 , 0 , 0 , 2 , -69, -4.31
0 , 0 , 0 , 2 , -69.1, -4.32
0 , 0 , 0 , 2 , -69.2, -4.33
0 , 0 , 0 , 2 , -69.3, -4.34
0 , 0 , 0 , 2 , -69.4, -4.34
0 , 0 , 0 , 2 , -69.5, -4.34
0 , 0 , 0 , 2 , -69.5, -4.34
0 , 0 , 0 , 2 , -69.6, -4.35
0 , 0 , 0 , 2 , -69.7, -4.34
0 , 0 , 0 , 2 , -69.8, -4.35
0 , 0 , 0 , 2 , -69.9, -4.35
0 , 0 , 0 , 2 , -69.9, -4.36
0 , 0 , 0 , 2 , -70, -4.37
0 , 0 , 0 , 2 , -70.1, -4.38
0 , 0 , 0 , 2 , -70.1, -4.39
0 , 0 , 0 , 2 , -70.2, -4.39
0 , 0 , 0 , 2 , -70.3, -4.38
0 , 0 , 0 , 2 , -70.3, -4.39
0 , 0 , 0 , 2 , -70.4, -4.39
0 , 0 , 0 , 2 , -70.5, -4.4
0 , 0 , 0 , 2 , -70.5, -4.39
0 , 0 , 0 , 2 , -70.6, -4.39
0 , 0 , 0 , 2 , -70.7, -4.4
0 , 0 , 0 , 2 , -70.7, -4.39
0 , 0 , 0 , 2 , -70.8, -4.4
0 , 0 , 0 , 2 , -70.8, -4.39
0 , 0 , 0 , 2 , -70.9, -4.41
0 , 0 , 0 , 2 , -70.9, -4.42
0 , 0 , 0 , 2 , -71, -4.44
0 , 0 , 0 , 2 , -71, -4.44
0 , 0 , 0 , 2 , -71.1, -4.45
0 , 0 , 0 , 2 , -71.1, -4.47
0 , 0 , 0 , 2 , -71.2, -4.46
0 , 0 , 0 , 2 , -71.2, -4.47
0 , 0 , 0 , 2 , -71.3, -4.47
0 , 0 , 0 , 2 , -71.3, -4.48
0 , 0 , 0 , 2 , -71.3, -4.47
0 , 0 , 0 , 2 , -71.4, -4.48
0 , 0 , 0 , 2 , -71.4, -4.47
0 , 0 , 0 , 2 , -71.5, -4.48
0 , 0 , 0 , 2 , -71.5, -4.48
0 , 0 , 0 , 2 , -71.6, -4.49
0 , 0 , 0 , 2 , -71.6, -4.48
0 , 0 , 0 , 2 , -71.6, -4.48
0 , 0 , 0 , 2 , -71.7, -4.5
